Timestamp,activity_label,accX,accY,accZ,gyroX,gyroY,gyroZ
2025-08-02 13:45:00 ,walking,0.0,0.13,0.13,53.65,-2.75,13.18
2025-08-02 13:45:00 ,walking,0.09,0.32,0.32,47.42,-37.35,37.9
2025-08-02 13:45:00 ,walking,0.24,0.59,0.59,-39.0,-43.67,113.62
2025-08-02 13:45:00 ,walking,0.23,0.41,0.41,-13.58,45.87,-11.26
2025-08-02 13:45:00 ,walking,-0.24,0.28,0.28,10.47,18.4,-8.36
2025-08-02 13:45:00 ,walking,-0.2,-0.55,-0.55,61.49,16.63,-5.22
2025-08-02 13:45:00 ,walking,-0.14,-0.02,-0.02,-74.98,15.01,-80.29
2025-08-02 13:45:00 ,walking,-0.29,-0.27,-0.27,27.65,37.96,-105.56
2025-08-02 13:45:00 ,walking,0.23,-0.46,-0.46,100.4,47.45,-105.41
2025-08-02 13:45:00 ,walking,0.44,-0.57,-0.57,95.92,-17.24,-6.68
2025-08-02 13:45:00 ,walking,0.06,-0.12,-0.12,80.96,-9.28,-25.18
2025-08-02 13:45:00 ,walking,0.01,-0.14,-0.14,55.27,-0.06,-32.81
2025-08-02 13:45:00 ,walking,0.1,-0.23,-0.23,70.74,28.32,-59.27
2025-08-02 13:45:00 ,walking,0.28,-0.22,-0.22,55.33,8.0,-33.69
2025-08-02 13:45:00 ,walking,0.21,-0.22,-0.22,67.78,-11.44,-11.87
2025-08-02 13:45:00 ,walking,0.2,-0.18,-0.18,78.64,-9.74,-35.83
2025-08-02 13:45:00 ,walking,0.13,-0.12,-0.12,62.87,-23.9,-29.66
2025-08-02 13:45:00 ,walking,0.18,-0.24,-0.24,69.64,-29.24,-3.14
2025-08-02 13:45:00 ,walking,0.25,-0.19,-0.19,53.34,-20.11,-21.67
2025-08-02 13:45:00 ,walking,0.17,-0.26,-0.26,17.46,-18.52,-4.12
2025-08-02 13:45:00 ,walking,0.23,-0.37,-0.37,8.09,8.06,-25.57
2025-08-02 13:45:00 ,walking,0.33,-0.24,-0.24,2.35,7.69,-37.48
2025-08-02 13:45:00 ,walking,0.37,-0.41,-0.41,-2.32,18.22,43.73
2025-08-02 13:45:00 ,walking,0.14,-0.62,-0.62,-69.64,4.88,88.75
2025-08-02 13:45:00 ,walking,-0.07,-0.54,-0.54,-152.16,-35.34,82.4
2025-08-02 13:45:00 ,walking,-0.31,-0.47,-0.47,-174.53,-8.51,-0.31
2025-08-02 13:45:00 ,walking,-0.11,-0.58,-0.58,-145.08,43.91,-40.13
2025-08-02 13:45:00 ,walking,0.15,-0.06,-0.06,-135.74,35.13,-23.71
2025-08-02 13:45:00 ,walking,0.23,-0.11,-0.11,-116.55,19.56,25.94
2025-08-02 13:45:00 ,walking,0.16,-0.12,-0.12,-95.03,-8.24,85.3
2025-08-02 13:45:00 ,walking,0.01,-0.14,-0.14,-71.11,-9.22,100.37
2025-08-02 13:45:00 ,walking,-0.13,-0.08,-0.08,-30.09,10.13,64.06
2025-08-02 13:45:00 ,walking,-0.09,-0.06,-0.06,-3.3,8.39,42.39
2025-08-02 13:45:00 ,walking,-0.03,0.02,0.02,27.13,2.26,13.34
2025-08-02 13:45:00 ,walking,0.06,0.22,0.22,68.79,5.98,-25.27
2025-08-02 13:45:00 ,walking,0.25,0.47,0.47,55.73,-30.79,19.9
2025-08-02 13:45:00 ,walking,0.55,0.67,0.67,-45.59,-27.8,85.6
2025-08-02 13:45:00 ,walking,0.18,0.48,0.48,-28.63,14.01,48.71
2025-08-02 13:45:00 ,walking,-0.37,0.07,0.07,45.32,12.94,-15.81
2025-08-02 13:45:00 ,walking,-0.62,-0.42,-0.42,-63.35,-40.59,-8.91
2025-08-02 13:45:00 ,walking,-0.26,-0.3,-0.3,-28.05,35.49,-106.75
2025-08-02 13:45:00 ,walking,-0.16,-0.22,-0.22,54.96,36.16,-113.95
2025-08-02 13:45:00 ,walking,0.4,-0.69,-0.69,143.71,53.74,-93.02
2025-08-02 13:45:00 ,walking,0.14,-0.25,-0.25,64.15,-13.82,-49.9
2025-08-02 13:45:00 ,walking,0.12,-0.32,-0.32,64.3,-11.23,-20.94
2025-08-02 13:45:00 ,walking,-0.04,-0.19,-0.19,64.21,20.08,-80.11
2025-08-02 13:45:00 ,walking,0.15,-0.27,-0.27,71.84,28.2,-81.09
2025-08-02 13:45:00 ,walking,0.26,-0.19,-0.19,62.5,6.96,-62.16
2025-08-02 13:45:00 ,walking,0.3,-0.19,-0.19,85.24,-9.77,-48.19
2025-08-02 13:45:00 ,walking,0.15,-0.05,-0.05,78.8,-15.44,-48.58
2025-08-02 13:45:00 ,walking,0.28,-0.14,-0.14,60.33,-38.12,0.76
2025-08-02 13:45:00 ,walking,0.49,-0.21,-0.21,43.64,-15.26,-14.8
2025-08-02 13:45:00 ,walking,0.09,-0.33,-0.33,2.04,-8.79,4.43
2025-08-02 13:45:00 ,walking,0.12,-0.33,-0.33,-6.44,8.18,-35.31
2025-08-02 13:45:00 ,walking,0.27,-0.29,-0.29,2.41,12.54,-56.82
2025-08-02 13:45:00 ,walking,0.26,-0.23,-0.23,2.59,30.27,-17.43
2025-08-02 13:45:00 ,walking,0.25,-0.53,-0.53,-70.59,15.11,46.3
2025-08-02 13:45:00 ,walking,0.09,-0.38,-0.38,-147.89,-28.69,77.3
2025-08-02 13:45:00 ,walking,-0.35,-0.52,-0.52,-179.02,-19.74,32.38
2025-08-02 13:45:00 ,walking,-0.44,-0.76,-0.76,-148.77,35.61,-18.28
2025-08-02 13:45:00 ,walking,0.04,0.05,0.05,-141.85,43.91,-66.22
2025-08-02 13:45:00 ,walking,0.26,-0.02,-0.02,-112.4,49.99,-30.98
2025-08-02 13:45:00 ,walking,0.27,-0.14,-0.14,-89.45,16.2,59.48
2025-08-02 13:45:00 ,walking,-0.07,-0.2,-0.2,-79.35,-14.92,102.91
2025-08-02 13:45:00 ,walking,-0.1,-0.16,-0.16,-51.51,-12.85,86.18
2025-08-02 13:45:00 ,walking,-0.15,-0.06,-0.06,-3.91,-5.77,40.65
2025-08-02 13:45:00 ,walking,-0.09,0.03,0.03,39.4,-1.98,5.13
2025-08-02 13:45:00 ,walking,0.06,0.29,0.29,85.66,-1.56,-30.12
2025-08-02 13:45:00 ,walking,0.32,0.6,0.6,70.4,-34.21,34.36
2025-08-02 13:45:00 ,walking,0.43,0.67,0.67,-36.44,0.85,44.83
2025-08-02 13:45:00 ,walking,-0.12,0.48,0.48,-48.83,-3.78,39.61
2025-08-02 13:45:00 ,walking,-0.36,-0.05,-0.05,71.78,22.0,-33.75
2025-08-02 13:45:00 ,walking,-0.39,-0.51,-0.51,-24.08,-2.08,-78.83
2025-08-02 13:45:00 ,walking,-0.05,-0.28,-0.28,-52.8,35.16,-123.81
2025-08-02 13:45:00 ,walking,-0.19,-0.32,-0.32,46.63,32.17,-80.66
2025-08-02 13:45:00 ,walking,0.3,-0.56,-0.56,87.86,17.06,-86.24
2025-08-02 13:45:00 ,walking,0.09,-0.51,-0.51,75.78,5.19,-75.81
2025-08-02 13:45:00 ,walking,0.2,-0.28,-0.28,67.9,12.48,-57.4
2025-08-02 13:45:00 ,walking,-0.08,-0.17,-0.17,53.89,27.56,-115.17
2025-08-02 13:45:00 ,walking,0.29,-0.31,-0.31,42.18,20.51,-86.36
2025-08-02 13:45:00 ,walking,0.28,-0.29,-0.29,37.14,3.78,-59.57
2025-08-02 13:45:00 ,walking,0.31,-0.25,-0.25,55.91,-11.02,-50.17
2025-08-02 13:45:00 ,walking,0.33,-0.12,-0.12,80.44,2.47,-83.19
2025-08-02 13:45:00 ,walking,0.25,0.01,0.01,75.71,-8.91,-40.92
2025-08-02 13:45:00 ,walking,0.25,-0.22,-0.22,49.1,-21.33,-0.52
2025-08-02 13:45:00 ,walking,0.12,-0.27,-0.27,12.63,-8.54,-19.1
2025-08-02 13:45:00 ,walking,0.11,-0.31,-0.31,-1.28,18.46,-58.38
2025-08-02 13:45:00 ,walking,0.12,-0.15,-0.15,-5.98,17.0,-66.16
2025-08-02 13:45:00 ,walking,0.42,-0.35,-0.35,4.73,6.04,-27.07
2025-08-02 13:45:00 ,walking,0.38,-0.42,-0.42,-22.37,26.58,24.72
2025-08-02 13:45:00 ,walking,0.14,-0.49,-0.49,-114.9,-0.37,28.2
2025-08-02 13:45:00 ,walking,0.03,-0.35,-0.35,-167.51,-45.93,17.06
2025-08-02 13:45:00 ,walking,-0.2,-0.49,-0.49,-145.69,4.09,-6.35
2025-08-02 13:45:00 ,walking,-0.01,-0.44,-0.44,-138.73,18.95,-24.35
2025-08-02 13:45:00 ,walking,0.19,-0.04,-0.04,-128.05,13.98,-2.35
2025-08-02 13:45:00 ,walking,0.24,-0.06,-0.06,-103.27,8.3,59.72
2025-08-02 13:45:00 ,walking,-0.0,-0.13,-0.13,-80.93,0.03,95.79
2025-08-02 13:45:00 ,walking,-0.1,-0.08,-0.08,-49.29,15.69,82.82
2025-08-02 13:45:00 ,walking,-0.1,-0.08,-0.08,-22.34,20.11,59.48
2025-08-02 13:45:00 ,walking,-0.05,-0.05,-0.05,9.55,11.81,38.36
2025-08-02 13:45:00 ,walking,-0.08,0.04,0.04,38.91,11.66,-18.31
2025-08-02 13:45:00 ,walking,0.04,0.28,0.28,62.1,-6.29,-26.0
2025-08-02 13:45:00 ,walking,0.29,0.6,0.6,21.51,-48.74,75.47
2025-08-02 13:45:00 ,walking,0.3,0.46,0.46,4.55,15.38,7.48
2025-08-02 13:45:00 ,walking,0.19,0.32,0.32,20.78,40.37,-24.96
2025-08-02 13:45:00 ,walking,-0.12,-0.47,-0.47,106.45,72.05,-25.57
2025-08-02 13:45:00 ,walking,-0.4,0.05,0.05,-50.81,-37.6,-17.15
2025-08-02 13:45:00 ,walking,0.0,-0.39,-0.39,-48.4,22.13,-99.79
2025-08-02 13:45:00 ,walking,0.02,-0.42,-0.42,21.24,19.07,-96.41
2025-08-02 13:45:00 ,walking,0.04,-0.6,-0.6,60.46,-9.52,-41.72
2025-08-02 13:45:00 ,walking,0.29,-0.36,-0.36,81.39,-9.95,-5.8
2025-08-02 13:45:00 ,walking,0.02,-0.34,-0.34,76.78,39.4,-75.99
2025-08-02 13:45:00 ,walking,0.0,-0.16,-0.16,52.46,27.28,-103.64
2025-08-02 13:45:00 ,walking,0.33,-0.25,-0.25,46.51,10.65,-66.38
2025-08-02 13:45:00 ,walking,0.33,-0.2,-0.2,58.38,-9.06,-30.09
2025-08-02 13:45:00 ,walking,0.41,-0.07,-0.07,72.08,-16.45,-31.62
2025-08-02 13:45:00 ,walking,0.24,-0.1,-0.1,63.57,14.16,-45.1
2025-08-02 13:45:00 ,walking,0.27,0.05,0.05,11.96,-11.08,-5.68
2025-08-02 13:45:00 ,walking,0.32,-0.14,-0.14,7.84,-27.56,44.86
2025-08-02 13:45:00 ,walking,0.16,-0.21,-0.21,-5.19,-28.14,50.17
2025-08-02 13:45:00 ,walking,0.02,-0.28,-0.28,-27.95,-11.17,28.75
2025-08-02 13:45:00 ,walking,0.03,-0.19,-0.19,-40.65,-8.09,10.89
2025-08-02 13:45:00 ,walking,-0.02,-0.33,-0.33,-72.91,-3.72,-19.93
